Timestamp,Hex
2024-04-01 00:00:00.000,0x0AAC
2024-04-01 00:00:00.500,0xAA2F
2024-04-01 00:00:01.000,0xA675
2024-04-01 00:00:01.500,0xCCC0
2024-04-01 00:00:02.000,0xB343
2024-04-01 00:00:02.500,0x52FB
2024-04-01 00:00:03.000,0x76C3
2024-04-01 00:00:03.500,0x7D67
2024-04-01 00:00:04.000,0xA409
2024-04-01 00:00:04.500,0xDED3
2024-04-01 00:00:05.000,0x5115
2024-04-01 00:00:05.500,0xD6F2
2024-04-01 00:00:06.000,0xB724
2024-04-01 00:00:06.500,0x3A57
2024-04-01 00:00:07.000,0x3C46
2024-04-01 00:00:07.500,0xBDD8
2024-04-01 00:00:08.000,0x9A58
2024-04-01 00:00:08.500,0xCD8C
2024-04-01 00:00:09.000,0x393A
2024-04-01 00:00:09.500,0x42C1
2024-04-01 00:00:10.000,0x7DE6
2024-04-01 00:00:10.500,0x4A27
2024-04-01 00:00:11.000,0xA857
2024-04-01 00:00:11.500,0xC8AE
2024-04-01 00:00:12.000,0x5E58
2024-04-01 00:00:12.500,0x8B51
2024-04-01 00:00:13.000,0xE6A5
2024-04-01 00:00:13.500,0x4219
2024-04-01 00:00:14.000,0x6B4D
2024-04-01 00:00:14.500,0x9848
2024-04-01 00:00:15.000,0x1B09
2024-04-01 00:00:15.500,0x9794
2024-04-01 00:00:16.000,0x0873
2024-04-01 00:00:16.500,0x13D0
2024-04-01 00:00:17.000,0x92F3
2024-04-01 00:00:17.500,0x1EC5
2024-04-01 00:00:18.000,0x47FE
2024-04-01 00:00:18.500,0x074F
2024-04-01 00:00:19.000,0x1DAF
2024-04-01 00:00:19.500,0x09C0
2024-04-01 00:00:20.000,0xBB52
2024-04-01 00:00:20.500,0x6063
2024-04-01 00:00:21.000,0xA7D8
2024-04-01 00:00:21.500,0x7CB1
2024-04-01 00:00:22.000,0x82F3
2024-04-01 00:00:22.500,0x031D
2024-04-01 00:00:23.000,0xC293
2024-04-01 00:00:23.500,0x0C93
2024-04-01 00:00:24.000,0x3B8E
2024-04-01 00:00:24.500,0x61A7
2024-04-01 00:00:25.000,0xDD20
2024-04-01 00:00:25.500,0x3FC1
2024-04-01 00:00:26.000,0xCD09
2024-04-01 00:00:26.500,0x4AB9
2024-04-01 00:00:27.000,0xD27F
2024-04-01 00:00:27.500,0xA220
2024-04-01 00:00:28.000,0xDA1F
2024-04-01 00:00:28.500,0xC2CA
2024-04-01 00:00:29.000,0x48F4
2024-04-01 00:00:29.500,0xE097
2024-04-01 00:00:30.000,0xEAA3
2024-04-01 00:00:30.500,0x79FE
2024-04-01 00:00:31.000,0x2DCB
2024-04-01 00:00:31.500,0xAB72
2024-04-01 00:00:32.000,0x44B7
2024-04-01 00:00:32.500,0xD81C
2024-04-01 00:00:33.000,0xE322
2024-04-01 00:00:33.500,0xA880
2024-04-01 00:00:34.000,0x6880
2024-04-01 00:00:34.500,0xE7A4
2024-04-01 00:00:35.000,0x5C35
2024-04-01 00:00:35.500,0x1785
2024-04-01 00:00:36.000,0x4E26
2024-04-01 00:00:36.500,0x0DE8
2024-04-01 00:00:37.000,0x62F4
2024-04-01 00:00:37.500,0xF111
2024-04-01 00:00:38.000,0x794F
2024-04-01 00:00:38.500,0xB184
2024-04-01 00:00:39.000,0xC669
2024-04-01 00:00:39.500,0xEC2A
2024-04-01 00:00:40.000,0xB5BA
2024-04-01 00:00:40.500,0xBA1F
2024-04-01 00:00:41.000,0x5378
2024-04-01 00:00:41.500,0x5101
2024-04-01 00:00:42.000,0xF541
2024-04-01 00:00:42.500,0x6FE7
2024-04-01 00:00:43.000,0xEFA9
2024-04-01 00:00:43.500,0x6839
2024-04-01 00:00:44.000,0x3923
2024-04-01 00:00:44.500,0x2F66
2024-04-01 00:00:45.000,0xEC77
2024-04-01 00:00:45.500,0xBB0B
2024-04-01 00:00:46.000,0xA1AE
2024-04-01 00:00:46.500,0xDC52
2024-04-01 00:00:47.000,0x505B
2024-04-01 00:00:47.500,0xF780
2024-04-01 00:00:48.000,0xE98E
2024-04-01 00:00:48.500,0xCA63
2024-04-01 00:00:49.000,0x2635
2024-04-01 00:00:49.500,0x4B8C
